,type_cat,Year,Broad Research Area,FOR Category,Field of Research,Res KW1,Res KW2,Res KW3,Res KW4,Res KW5,code,parent_field_code,parent_field_label
1117,2,2019,Public Health,,"Health, Clinical and Counselling Psychology", mental health , disease management , psychological treatment , psychological health , treatment evaluation,170106.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
1118,1,2019,Basic Science,,Gene Expression (incl. Microarray and other genome-wide approaches), cancer , ageing , stress response , rna , translation,60405.0,6.0,BIOLOGICAL SCIENCES
1119,3,2019,Clinical Medicine and Science,,Ophthalmology, screening , eye disease , artificial neural networks , clinical trial , validation,111301.0,11.0,MEDICAL AND HEALTH SCIENCES
1120,2,2019,Health Services Research,,Mental Health, forensic psychiatry , prison population , mental health , mental health services , epidemiology,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
1121,3,2019,Basic Science,,Cellular Immunology, antibody production , vaccines , autoimmunity , germinal centre , age-related,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
1122,3,2019,Basic Science,,Central Nervous System, basal ganglia , prefrontal cortex , decision making , executive function , motor control,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
1123,3,2019,Basic Science,,Tumour Immunology, cancer vaccine , cancer biology , drug development , cancer immunotherapy , cancer cell biology,110709.0,11.0,MEDICAL AND HEALTH SCIENCES
1124,3,2019,Clinical Medicine and Science,,Primary Health Care, evidence-based health care , primary care , diagnosis , antibiotic resistance , meta-analysis,111717.0,11.0,MEDICAL AND HEALTH SCIENCES
1125,2,2019,Clinical Medicine and Science,,Infectious Diseases, impetigo , scabies , staphylococcus aureus , streptococcus pyogenes , indigenous health,110309.0,11.0,MEDICAL AND HEALTH SCIENCES
1126,1,2019,Basic Science,,Structural Biology (incl. Macromolecular Modelling), rna binding proteins , structural biology , protein biochemistry , virus detection , rna,60112.0,6.0,BIOLOGICAL SCIENCES
1127,1,2019,Basic Science,,Immunology not elsewhere classified, immunology , immune function , immune modulation , cancer immunotherapy , cancer immunology,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
1128,1,2019,Clinical Medicine and Science,,Paediatrics, neonatology , resuscitation , respiratory distress syndrome (rds) , continuous positive airway pressure (cpap) , surfactant,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
1129,1,2019,Basic Science,,Bioinformatics, bioinformatics , statistics , gene expression , kidney , stem cell biology,60102.0,6.0,BIOLOGICAL SCIENCES
1130,3,2019,Clinical Medicine and Science,,Paediatrics, cardiovascular , inflammation , epidemiology , paediatric , longitudinal cohort study,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
1131,1,2019,Clinical Medicine and Science,,Neurosciences not elsewhere classified, schizophrenia , neuroimaging , stem cell biology , disease mechanisms , prognostic markers,110999.0,11.0,MEDICAL AND HEALTH SCIENCES
1132,3,2019,Clinical Medicine and Science,,Medical and Health Sciences not elsewhere classified, diabetic nephropathy , diabetic complications , diabetic angiopathy , diabetes mellitus , renal disease,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
1133,3,2019,Basic Science,,Central Nervous System, multiple sclerosis (ms) , remyelination , autoimmunity , demyelination , therapeutic target,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
1134,3,2019,Basic Science,,Genomics, functional genomics , cell differentiation , genetic susceptibility , sequencing , expression profiling,60408.0,6.0,BIOLOGICAL SCIENCES
1135,1,2019,Clinical Medicine and Science,,Oncology and Carcinogenesis not elsewhere classified, neuroendocrine , nuclear medicine , molecular imaging , biomarkers , therapeutic target,111299.0,11.0,MEDICAL AND HEALTH SCIENCES
1136,1,2019,Basic Science,,Analytical Biochemistry, reactive oxygen species (ros) , redox regulation , molecular imaging , quantitative , inflammatory diseases,60101.0,6.0,BIOLOGICAL SCIENCES
1137,1,2019,Health Services Research,,Health Information Systems (incl. Surveillance), aphasia , stroke rehabilitation , outcome measures , health surveillance , consumer participation,111711.0,11.0,MEDICAL AND HEALTH SCIENCES
1138,1,2019,Basic Science,,Central Nervous System, axon guidance , plasticity , developmental outcomes , cortical plasticity , cerebral cortex,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
1139,1,2019,Basic Science,,Foetal Development and Medicine, growth restriction , fetal programming , cardiovascular disease prevention , oxidative stress , vascular function,111401.0,11.0,MEDICAL AND HEALTH SCIENCES
1140,3,2019,Clinical Medicine and Science,,Clinical Sciences not elsewhere classified, stroke , randomised controlled trial (rct) , cardiovascular disease , health outcomes , evidence-based clinical practice,110399.0,11.0,MEDICAL AND HEALTH SCIENCES
1141,3,2019,Clinical Medicine and Science,,Cancer Therapy (excl. Chemotherapy and Radiation Therapy), melanoma , targeted therapy , oncogenes , cancer immunotherapy , metabolism,111204.0,11.0,MEDICAL AND HEALTH SCIENCES
1142,3,2019,Clinical Medicine and Science,,Cancer Therapy (excl. Chemotherapy and Radiation Therapy), skin cancer , head and neck cancer , immunotherapy , biomarkers , adjuvant therapy,111204.0,11.0,MEDICAL AND HEALTH SCIENCES
1143,1,2019,Basic Science,,Ophthalmology, cornea , keratitis , corneal scarring , collagen , corneal remodelling,111301.0,11.0,MEDICAL AND HEALTH SCIENCES
1144,3,2019,Clinical Medicine and Science,,Cancer Cell Biology, breast cancer , mammary gland cancer , stem cell biology , translational research , mouse models,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
1145,3,2019,Basic Science,,Medical Bacteriology, bacterial pathogenesis , infection , innate immunity , host/pathogen interaction , bacterial virulence,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
1146,3,2019,Basic Science,,Signal Transduction, platelets , mechanotransduction , signal transduction , diabetes , thrombosis,60111.0,6.0,BIOLOGICAL SCIENCES
1147,3,2019,Clinical Medicine and Science,,Gastroenterology and Hepatology, diabetes , glucose homeostasis , gastric emptying , management , critical illness,110307.0,11.0,MEDICAL AND HEALTH SCIENCES
1148,1,2019,Public Health,,Epidemiology, human immunodeficiency virus (hiv) , infectious diseases , community intervention study , community health care , public health policy,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
1149,3,2019,Clinical Medicine and Science,,Paediatrics, prematurity , fetal growth restriction , fetal alcohol syndrome , neurodegeneration , early intervention,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
1150,3,2019,Public Health,,Public Health and Health Services not elsewhere classified, hepatitis c infection , injecting drug use , epidemiology , treatment , health services,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
1151,1,2019,Public Health,,Epidemiology, smoking , youth , nicotine , epidemiology , addiction,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
1152,3,2019,Basic Science,,Autonomic Nervous System, diabetes , pro-opiomelanocortin (pomc) , leptin , physiology , sympathetic nervous system,110901.0,11.0,MEDICAL AND HEALTH SCIENCES
1153,1,2019,Basic Science,,Haematological Tumours, acute myeloid leukaemia (aml) , resistance , chemotherapy , p53 , targeted therapy,111206.0,11.0,MEDICAL AND HEALTH SCIENCES
1154,1,2019,Basic Science,,Medical Bacteriology, antimicrobial resistance , klebsiella , genomics , evolution , metabolism,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
1155,3,2019,Basic Science,,Protein Trafficking, gtpase , membrane trafficking , macrophage biology , inflammation , cytokine regulation,60108.0,6.0,BIOLOGICAL SCIENCES
1156,1,2019,Basic Science,,Regenerative Medicine (incl. Stem Cells and Tissue Engineering), regeneration , regulatory t cells , growth factor , biomaterials , neuropeptides,100404.0,10.0,TECHNOLOGY
1157,3,2019,Clinical Medicine and Science,,Oncology and Carcinogenesis not elsewhere classified, survivorship , psycho-oncology , cognitive function , neuropathy , quality of life,111299.0,11.0,MEDICAL AND HEALTH SCIENCES
1158,3,2019,Clinical Medicine and Science,,Infectious Diseases, human immunodeficiency virus (hiv) , sexually-transmitted infections (sti) , prospective cohort study , clinical trial , mathematical modelling,110309.0,11.0,MEDICAL AND HEALTH SCIENCES
1159,2,2019,Public Health,,Aboriginal and Torres Strait Islander Health, psychometrics , risk factors , cohort study , public health , epidemiology,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
1160,1,2019,Clinical Medicine and Science,,Cancer Genetics, cancer susceptibility , risk prediction , genomics , multiple risk factors , somatic mutation,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
1161,1,2019,Clinical Medicine and Science,,Rheumatology and Arthritis, cartilage , chondrocytes , tissue damage , cell biology , bone,110322.0,11.0,MEDICAL AND HEALTH SCIENCES
1162,1,2019,Clinical Medicine and Science,,Medical Bacteriology, antibiotic resistance , genomics , bioinformatics , phenotype-genotype correlation , clinical microbiology,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
1163,3,2019,Basic Science,,Cellular Nervous System, blood-brain barrier , ultrasound , synaptic mechanisms , alzheimer disease , signalling pathways,110902.0,11.0,MEDICAL AND HEALTH SCIENCES
1164,1,2019,Basic Science,,Immunology not elsewhere classified, adaptive immunity , self tolerance , b cells , germinal centre , autoimmunity,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
1165,2,2019,Basic Science,,Epigenetics (incl. Genome Methylation and Epigenomics), dna methylation , chromatin structure , epigenetics , brain ageing , cancer cell biology,60404.0,6.0,BIOLOGICAL SCIENCES
1166,3,2019,Clinical Medicine and Science,,Neurology and Neuromuscular Diseases, epilepsy , treatment-resistant , animal model , drug development , clinical trial,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
1167,3,2019,Clinical Medicine and Science,,Foetal Development and Medicine, evidence-based clinical practice , infertility , obstetrics , perinatal , gynaecology,111401.0,11.0,MEDICAL AND HEALTH SCIENCES
1168,2,2019,Public Health,,Cardiology (incl. Cardiovascular Diseases), paediatric , cohort study , cardiovascular health , lipids , risk factors,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
1169,3,2019,Basic Science,,Neurosciences not elsewhere classified, schizophrenia , psychiatry , neuropathology , obesity , therapeutics,110999.0,11.0,MEDICAL AND HEALTH SCIENCES
1170,1,2019,Clinical Medicine and Science,,Clinical and Sports Nutrition, intensive care , nutritional therapy , enteral nutrition , parenteral nutrition , clinical outcome,111101.0,11.0,MEDICAL AND HEALTH SCIENCES
1171,2,2019,Clinical Medicine and Science,,Rheumatology and Arthritis, scleroderma , lupus , cohort study , clinical trial , outcome measures,110322.0,11.0,MEDICAL AND HEALTH SCIENCES
1172,2,2019,Clinical Medicine and Science,,Gastroenterology and Hepatology, coeliac disease , mucosal immunology , randomised controlled trial (rct) , diagnostic applications , novel therapies,110307.0,11.0,MEDICAL AND HEALTH SCIENCES
1173,1,2019,Basic Science,,Epigenetics (incl. Genome Methylation and Epigenomics), chromatin , transcriptional regulation , preimplantation , transposons , chromatin structure,60404.0,6.0,BIOLOGICAL SCIENCES
1174,3,2019,Basic Science,,Cellular Immunology, immune regulation , immune dysfunction , cell biology , mathematical modelling , adaptive immunity,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
1175,3,2019,Clinical Medicine and Science,,Neurology and Neuromuscular Diseases, molecular basis of disease , biological markers , pre-clinical studies , brain , blood,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
1176,3,2019,Health Services Research,,Public Health and Health Services not elsewhere classified, health systems , implementation , patient safety , health services research , quality improvement,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
1177,2,2019,Basic Science,,Central Nervous System, alzheimer disease , neurodegeneration , phosphorylation , memory impairment , kinases,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
1178,2,2019,Basic Science,,Cell Metabolism, metabolomics , transcriptional regulation , developmental biology , cancer biology , liver cancer,60104.0,6.0,BIOLOGICAL SCIENCES
1179,3,2019,Health Services Research,,Aboriginal and Torres Strait Islander Health, indigenous australians , cancer care , psycho-oncology , cancer screening , wellbeing,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
1180,3,2019,Clinical Medicine and Science,,Neurology and Neuromuscular Diseases, neuroinflammation , biomarkers , neurodegenerative disorders , drug development , translational research,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
1181,3,2019,Basic Science,,Immunology not elsewhere classified, immune regulation , immune dysfunction , immune deficiency , immune system disorder , immunologic memory,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
1182,3,2019,Clinical Medicine and Science,,Psychiatry (incl. Psychotherapy), bipolar disorder , diagnosis , clinical patient management , clinical pharmacology , mental illness,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
1183,3,2019,Basic Science,,Central Nervous System, neurons , neural coding , dendrites , synaptic transmission , synaptic mechanisms,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
1184,3,2019,Basic Science,,Neurology and Neuromuscular Diseases, alzheimer disease , bipolar disorder , neurogenetics , dementia , molecular basis of disease,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
1185,3,2019,Basic Science,,Biochemistry and Cell Biology not elsewhere classified, angiogenesis , lymphangiogenesis , metastases , cancer biology , lymphatics,60199.0,6.0,BIOLOGICAL SCIENCES
1186,3,2019,Basic Science,,Developmental Genetics (incl. Sex Determination), developmental genetics , chromatin , transcriptional regulation , gene function , gene discovery,60403.0,6.0,BIOLOGICAL SCIENCES
1187,3,2019,Public Health,,Health Promotion, physical activity , sedentary behaviour , physical inactivity , young children , behavioural epidemiology,111712.0,11.0,MEDICAL AND HEALTH SCIENCES
1188,1,2019,Clinical Medicine and Science,,Cardiology (incl. Cardiovascular Diseases), atrial fibrillation , heart failure , magnetic resonance imaging (mri) , electrophysiology , fibrosis,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
1189,3,2019,Public Health,,Human Movement and Sports Science not elsewhere classified, physical activity , intervention study , implementation , child health , school-based intervention,110699.0,11.0,MEDICAL AND HEALTH SCIENCES
1190,3,2019,Basic Science,,Neurology and Neuromuscular Diseases, amyotrophic lateral sclerosis , motor neuron disease (mnd) , neurodegeneration , neurogenetics , pathogenesis,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
1191,2,2019,Basic Science,,Cancer Therapy (excl. Chemotherapy and Radiation Therapy), cancer therapy , combination therapy , drug resistance , systems biology , biomarkers,111204.0,11.0,MEDICAL AND HEALTH SCIENCES
1192,1,2019,Clinical Medicine and Science,,Obstetrics and Gynaecology, pregnancy complications , pregnancy outcome , mental health , databases , translational research,111402.0,11.0,MEDICAL AND HEALTH SCIENCES
1193,1,2019,Basic Science,,"Applied Immunology (incl. Antibody Engineering, Xenotransplantation and T-cell Therapies)", cancer immunology , cell therapy , antibody engineering , translational research , immunotherapy,110702.0,11.0,MEDICAL AND HEALTH SCIENCES
1194,3,2019,Basic Science,,Medical Parasitology, microbiology , host/pathogen interaction , glycosylation , virulence , protease,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
1195,1,2019,Health Services Research,,Public Health and Health Services not elsewhere classified, diabetic retinopathy , screening , health services research , ophthalmology , early detection,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
1196,3,2019,Basic Science,,Pharmaceutical Sciences, drug absorption , drug delivery , drug delivery systems , pharmacokinetics , pharmaceutics,111504.0,11.0,MEDICAL AND HEALTH SCIENCES
1197,2,2019,Basic Science,,Cell Metabolism, glycolysis , cancer biology , cellular mechanisms , oncogenesis , rna,60104.0,6.0,BIOLOGICAL SCIENCES
1198,3,2019,Health Services Research,,Epidemiology, transplantation , organ donation , health services research , shared clinical decision making , risk context,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
1199,3,2019,Basic Science,,Medical Virology, influenza , influenza virus , vaccine , prevention , respiratory viruses,110804.0,11.0,MEDICAL AND HEALTH SCIENCES
1200,3,2019,Basic Science,,Genomics, genetics , complex disease , reproduction , epidemiology , genomics,60408.0,6.0,BIOLOGICAL SCIENCES
1201,2,2019,Health Services Research,,Preventive Medicine, population health , implementation , chronic diseases , musculoskeletal disorders , lifestyle factors,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
1202,1,2019,Clinical Medicine and Science,,Exercise Physiology, exercise , lifestyle , intervention study , gestational diabetes , glycaemic control,110602.0,11.0,MEDICAL AND HEALTH SCIENCES
1203,2,2019,Clinical Medicine and Science,,Psychiatry (incl. Psychotherapy), early intervention , mental health services , internet service delivery , early psychosis , depression,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
1204,2,2019,Public Health,,Paediatrics and Reproductive Medicine not elsewhere classified, pneumococcal disease , epidemiology , carriage rates , clinical trial , health economics,111499.0,11.0,MEDICAL AND HEALTH SCIENCES
1205,1,2019,Basic Science,,Quantitative Genetics (incl. Disease and Trait Mapping Genetics), complex genetic disease , risk prediction , statistical genetics , genetic risk factors , environmental risk factors,60412.0,6.0,BIOLOGICAL SCIENCES
1206,3,2019,Clinical Medicine and Science,,Gene and Molecular Therapy, immunotherapy , gene therapy , genetics , molecular biology , clinical trial,100401.0,10.0,TECHNOLOGY
1207,2,2019,Clinical Medicine and Science,,Cancer Cell Biology, cell cycle inhibitors , breast cancer , drug resistance , translational research , mouse models,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
1208,2,2019,Clinical Medicine and Science,,Psychiatry (incl. Psychotherapy), psychosis , neurodevelopment , complement , neuroimaging , schizophrenia,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
1209,1,2019,Basic Science,,Biomedical Instrumentation, imaging , integrins , platelet function , thrombosis , cardiovascular disease,90303.0,9.0,ENGINEERING
1210,1,2019,Basic Science,,Medical Parasitology, malaria , protein biochemistry , drug , ubiquitination , targeting,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
1211,3,2019,Public Health,,Clinical Sciences not elsewhere classified, genetic testing , clinical genetics , clinical classification , data analysis , bioinformatics,110399.0,11.0,MEDICAL AND HEALTH SCIENCES
1212,1,2019,Health Services Research,,Public Health and Health Services not elsewhere classified, rural and remote health services , stroke prevention , stroke outcome , cardiovascular risk , management,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
1213,1,2019,Clinical Medicine and Science,,Medicinal and Biomolecular Chemistry not elsewhere classified, apoptosis , haematology , cancer biology , cancer chemotherapeutic agents , resistance,30499.0,3.0,CHEMICAL SCIENCES
1214,3,2019,Clinical Medicine and Science,,Psychiatry (incl. Psychotherapy), women's health , depression , hormones , traumatic stress , neuroendocrinology,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
1215,3,2019,Clinical Medicine and Science,,Medical Bacteriology, antibiotic resistance , antibiotic therapy , antibiotic use , pseudomonas aeruginosa infection , bacterial infection,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
1216,3,2019,Clinical Medicine and Science,,Haematology, blood transfusion , haematological malignancy , aplastic anaemia , haemorrhage , clinical trial,110202.0,11.0,MEDICAL AND HEALTH SCIENCES
1217,1,2019,Public Health,,Mental Health, suicide prevention , suicide risk , mental health services , population studies , epidemiology,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
1218,1,2019,Basic Science,,Epigenetics (incl. Genome Methylation and Epigenomics), epigenetics , dna methylation , dna replication , genomic instability , cancer genetics,60404.0,6.0,BIOLOGICAL SCIENCES
1219,3,2019,Clinical Medicine and Science,,Nutritional Physiology, cancer biology , ageing , nutrition , nutritional therapy , clinical trial,111103.0,11.0,MEDICAL AND HEALTH SCIENCES
1220,3,2019,Clinical Medicine and Science,,Cancer Therapy (excl. Chemotherapy and Radiation Therapy), antibody cancer therapy , nuclear medicine , clinical trial , health policy , tumour antigens,111204.0,11.0,MEDICAL AND HEALTH SCIENCES
1221,1,2019,Basic Science,,Quantitative Genetics (incl. Disease and Trait Mapping Genetics), osteoporosis , statistical genetics , bone mineral density , drug discovery , quantitative genetics,60412.0,6.0,BIOLOGICAL SCIENCES
1222,3,2019,Basic Science,,Medical Virology, virus pathogenesis , herpes simplex virus (hsv) , human immunodeficiency virus (hiv) , skin infections , skin immunology,110804.0,11.0,MEDICAL AND HEALTH SCIENCES
1223,3,2019,Clinical Medicine and Science,,Psychiatry (incl. Psychotherapy), bipolar disorder , early intervention , longitudinal , high risk , youth,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
1224,1,2019,Public Health,,Epidemiology, prison population , mental health , epidemiology , data linkage , health services research,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
1225,3,2019,Basic Science,,Structural Biology (incl. Macromolecular Modelling), ubiquitin , structural biology , biochemistry , cell signalling , parkinson disease,60112.0,6.0,BIOLOGICAL SCIENCES
1226,1,2019,Clinical Medicine and Science,,Central Nervous System, epilepsy , seizures , prediction , data analysis , circadian rhythms,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
1227,1,2019,Basic Science,,Biomolecular Modelling and Design, potassium channels , neural pathways , light sensitivity , transmembrane protein , epilepsy,30402.0,3.0,CHEMICAL SCIENCES
1228,1,2019,Clinical Medicine and Science,,Respiratory Diseases, smoking cessation , smoking intervention , behaviour change , public health , health care delivery,110203.0,11.0,MEDICAL AND HEALTH SCIENCES
1229,1,2019,Basic Science,,Epigenetics (incl. Genome Methylation and Epigenomics), epigenetics , rna processing , cancer genetics , cancer immunotherapy , gene expression,60404.0,6.0,BIOLOGICAL SCIENCES
1230,1,2019,Basic Science,,Cancer Cell Biology, cancer biology , transcriptional regulation , cancer therapy , molecular biology , genomics,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
1231,3,2019,Clinical Medicine and Science,,Physiotherapy, pain , pain mechanisms , pain management , chronic back pain , chronic pain,110317.0,11.0,MEDICAL AND HEALTH SCIENCES
1232,3,2019,Basic Science,,Epigenetics (incl. Genome Methylation and Epigenomics), epigenetics , gene regulation , stem cell biology , regenerative medicine , cell differentiation,60404.0,6.0,BIOLOGICAL SCIENCES
1233,1,2019,Clinical Medicine and Science,,Endocrinology, obesity , body weight regulation , dietary intervention , food intake , appetite regulation,110306.0,11.0,MEDICAL AND HEALTH SCIENCES
1234,1,2019,Public Health,,"Health, Clinical and Counselling Psychology", sleep , depression , cancer , biostatistics , treatment strategies,170106.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
1235,3,2019,Basic Science,,Cellular Immunology, t cell memory , t cell immunity , t cells , cellular immunology , viral immunity,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
1236,3,2019,Basic Science,,Cancer Genetics, pancreatic cancer , genomics , bioinformatics , tumourigenesis , immune evasion,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
1237,1,2019,Clinical Medicine and Science,,Neurology and Neuromuscular Diseases, frontotemporal dementia , motor neuron disease (mnd) , genetic disorders , neuropsychiatric disorders , cognition,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
1238,1,2019,Health Services Research,,Social and Community Psychology, indigenous , wellbeing , mental health , childhood , prevention,170113.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
1239,2,2019,Public Health,,Mental Health, workplace , mental disorder , occupational disease , occupational health , work disability,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
1240,2,2019,Basic Science,,Medical Bacteriology, mycobacterium tuberculosis , bioenergetics , persistence , mycobacteria , antibiotic therapy,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
1241,3,2020,Clinical Medicine and Science,,Psychiatry (incl. Psychotherapy),transcranial magnetic stimulation (tms),depression,mental disorder,treatment-resistant,obsessive-compulsive disorder (ocd),110319.0,11.0,MEDICAL AND HEALTH SCIENCES
1242,2,2020,Basic Science,,Medical Devices,epilepsy,biomedical engineering,instrumentation,seizures,vascular prosthesis,90304.0,9.0,ENGINEERING
1243,1,2020,Public Health,,Aboriginal and Torres Strait Islander Health,aboriginal health,alcohol use disorders,prison population,behavioural intervention,health service utilisation,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
1244,3,2020,Clinical Medicine and Science,,Pathology,biomarkers,pathology,diagnostic methods,oncology,breast cancer,,,
1245,3,2020,Basic Science,,Dentistry not elsewhere classified,periodontitis,microbiology,immune response,virulence factors,protein secretion,110599.0,11.0,MEDICAL AND HEALTH SCIENCES
1246,3,2020,Clinical Medicine and Science,,Paediatrics,neurodevelopmental disorders,mental health,neuroscience,inflammation,therapy,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
1247,3,2020,Basic Science,,Cellular Immunology,t cell immunity,antigen presentation,cellular immunity,infection,immunopathology,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
1248,2,2020,Public Health,,Epidemiology,tuberculosis,public health impact,infectious diseases,ethics,epidemiology,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
1249,3,2020,Public Health,,Preventive Medicine,falls prevention,clinical trial,physical activity,healthy ageing,self-management,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
1250,2,2020,Health Services Research,,Aged Health Care,aged care,register,quality of care,safety,risk prediction,111702.0,11.0,MEDICAL AND HEALTH SCIENCES
1251,2,2020,Public Health,,Epidemiology,infectious diseases,surveillance,mapping,epidemiology,modelling,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
1252,3,2020,Clinical Medicine and Science,,Obstetrics and Gynaecology,menopause,women's health,cohort study,cancer prevention,cardiovascular disease prevention,111402.0,11.0,MEDICAL AND HEALTH SCIENCES
1253,3,2020,Clinical Medicine and Science,,Respiratory Diseases,lung development,environmental pollutants,oxidative stress,chronic illness prevention,asthma,110203.0,11.0,MEDICAL AND HEALTH SCIENCES
1254,2,2020,Clinical Medicine and Science,,Central Nervous System,functional magnetic resonance imaging (fmri),parkinson disease,alzheimer disease,mathematical modelling,cognition,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
1255,2,2020,Clinical Medicine and Science,,Rheumatology and Arthritis,pain management,back pain,clinical trial,medications,opioids,110322.0,11.0,MEDICAL AND HEALTH SCIENCES
1256,2,2020,Public Health,,Health and Community Services,infection,access to health care,public health,human immunodeficiency virus (hiv),sexually-transmitted infections (sti),111708.0,11.0,MEDICAL AND HEALTH SCIENCES
1257,3,2020,Public Health,,Epidemiology,epidemiology,chronic obstructive pulmonary disease (copd),prevention,population health,risk prediction,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
1258,3,2020,Clinical Medicine and Science,,Medical Physics,medical physics,medical imaging,imaging,radiation oncology,cancer,29903.0,2.0,PHYSICAL SCIENCES
1259,3,2020,Basic Science,,Neurology and Neuromuscular Diseases,iron,neurodegenerative disorders,imaging,oxidative damage,biomarkers,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
1260,1,2020,Basic Science,,Cellular Immunology,influenza virus,t cells,b cells,infection,vaccination immunology,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
1261,2,2020,Health Services Research,,Primary Health Care,survivorship,primary care,nursing practice,health services,general practice,111717.0,11.0,MEDICAL AND HEALTH SCIENCES
1262,1,2020,Public Health,,Public Health and Health Services not elsewhere classified,sepsis,infection,public health,obstetrics,maternal infection,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
1263,1,2020,Clinical Medicine and Science,,Tumour Immunology,breast cancer,b cells,adaptive immunity,immunology,tumour immunology,110709.0,11.0,MEDICAL AND HEALTH SCIENCES
1264,1,2020,Clinical Medicine and Science,,Neurocognitive Patterns and Neural Networks,brain imaging,brain function,brain pathways,functional magnetic resonance imaging (fmri),connectivity,170205.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
1265,1,2020,Clinical Medicine and Science,,Physiotherapy,musculoskeletal disorders,clinical trial,exercise therapy,allied health,waiting lists,110317.0,11.0,MEDICAL AND HEALTH SCIENCES
1266,1,2020,Public Health,,Public Health and Health Services not elsewhere classified,breast cancer,screening,communication,harm minimisation,health services,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
1267,1,2020,Public Health,,Epidemiology,influenza,surveillance,infectious diseases,population health,health care utilisation,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
1268,3,2020,Basic Science,,Medical Bacteriology,streptococcus pyogenes,streptococcal infection,streptococcal disease,antibiotics,antibiotic therapy,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
1269,3,2020,Basic Science,,Metabolic Medicine,obesity,drug development,diabetes mellitus,liver metabolism,dementia,110107.0,11.0,MEDICAL AND HEALTH SCIENCES
